label,solution
Apple___Apple_scab,Spray Captan 50WP or Mancozeb 75WP (2–3 g per litre). Collect and burn fallen leaves. Prune dense branches to improve sunlight and airflow. Repeat sprays during humid weather.
Apple___Black_rot,Remove and destroy mummified fruits. Spray Myclobutanil 10WP or Propiconazole 25EC (1 ml per litre). Keep the orchard clean and remove dead branches or rotten fruits.
Apple___Cedar_apple_rust,Spray Myclobutanil 10WP or Hexaconazole 5EC (1 ml per litre). Remove nearby juniper trees because the disease spreads from them. Maintain pruning for airflow.
Apple___healthy,"Tree is healthy. Continue regular watering, yearly pruning, and apply compost every 2–3 months."
Blueberry___healthy,Plant is healthy. Maintain acidic soil (pH 4–5.5). Water regularly using drip irrigation and avoid waterlogging.
Cherry_(including_sour)___Powdery_mildew,Spray Sulfur 80WP (2 g per litre) or Potassium Bicarbonate (5 g per litre). Avoid overhead watering. Improve airflow through pruning.
Cherry_(including_sour)___healthy,Healthy tree. Continue regular pruning and watering at the base.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Grow resistant varieties. Spray Azoxystrobin 23SC (1 ml per litre). Rotate corn with pulses and remove infected residues.
Corn_(maize)___Common_rust_,Use resistant hybrids. Spray Tebuconazole 25EC or Propiconazole 25EC (1 ml per litre). Maintain proper spacing.
Corn_(maize)___Northern_Leaf_Blight,Use resistant varieties. Spray Mancozeb 75WP (2 g per litre) early. Rotate corn with legumes to break the disease cycle.
Corn_(maize)___healthy,Crop is healthy. Follow recommended water and fertilizer schedule.
Grape___Black_rot,Prune infected shoots. Spray Captan 50WP or Myclobutanil 10WP (2 g per litre). Maintain vineyard cleanliness.
Grape___Esca_(Black_Measles),Remove infected wood. Avoid pruning during wet weather. Improve irrigation but avoid excess water.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Spray Copper Oxychloride 50WP (3 g per litre). Remove dead leaves. Improve airflow by proper spacing.
Grape___healthy,Vine is healthy. Continue pruning for good sunlight exposure.
Orange___Haunglongbing_(Citrus_greening),No cure exists. Remove infected trees. Control psyllids using Imidacloprid 17.8SL (0.3 ml per litre). Maintain orchard cleanliness.
Peach___Bacterial_spot,Spray Copper Oxychloride 50WP (3 g per litre). Use resistant cultivars. Use drip irrigation instead of overhead watering.
Peach___healthy,Tree is healthy. Continue pruning and apply compost regularly.
"Pepper,_bell___Bacterial_spot",Spray Copper hydroxide or Copper oxychloride (3 g per litre). Avoid touching plants when wet. Use drip irrigation.
"Pepper,_bell___healthy",Healthy plant. Maintain soil fertility and check leaves regularly.
Potato___Early_blight,Spray Mancozeb 75WP or Chlorothalonil 75WP (2 g per litre). Remove early yellow leaves. Rotate crops.
Potato___Late_blight,Spray Metalaxyl + Mancozeb (Ridomil Gold) 2 g per litre. Destroy infected tubers. Avoid overhead irrigation.
Potato___healthy,Crop is healthy. Maintain proper soil moisture and drainage.
Raspberry___healthy,Plant is healthy. Maintain pruning and spacing for good airflow.
Soybean___healthy,Crop is healthy. Continue weed control and crop rotation.
Squash___Powdery_mildew,Spray Potassium Bicarbonate (5 g per litre) or Sulfur 80WP (2 g per litre). Improve airflow and reduce humidity.
Strawberry___Leaf_scorch,Remove infected leaves. Improve irrigation. Spray Copper fungicides (2–3 g per litre).
Strawberry___healthy,Plant is healthy. Maintain spacing and avoid overcrowding.
Tomato___Bacterial_spot,Spray Copper Oxychloride 50WP (3 g per litre). Avoid overhead watering. Rotate crops.
Tomato___Early_blight,Spray Chlorothalonil or Copper fungicides (2 g per litre). Remove lower leaves touching soil. Improve airflow.
Tomato___Late_blight,Spray Mancozeb + Metalaxyl (Ridomil Gold) 2 g per litre. Remove infected plants. Avoid wetting leaves.
Tomato___Leaf_Mold,Increase ventilation and reduce humidity. Spray Copper fungicides (2 g per litre).
Tomato___Septoria_leaf_spot,Remove lower leaves. Spray Chlorothalonil 75WP (2 g per litre). Avoid watering leaves directly.
Tomato___Spider_mites Two-spotted_spider_mite,Use Neem oil (5 ml per litre) or Spiromesifen 22.9SC. Wash leaves weekly.
Tomato___Target_Spot,Remove infected leaves. Spray Copper fungicides or Mancozeb (2 g per litre). Avoid overhead watering.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Remove infected plants. Control whiteflies with Imidacloprid 17.8SL (0.3 ml per litre). Use resistant hybrids.
Tomato___Tomato_mosaic_virus,Remove infected plants. Disinfect tools using soap. Avoid handling tobacco before touching plants.
Tomato___healthy,Plant is healthy. Maintain balanced fertilization and prune side shoots regularly.
