Dataset,Soil_Type,Image_Path,Detected_Tone,pH Range,Temperature (°C),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Crop_Recommendations,Fertilizer_Recommendations,Weather_Based_Crop_Recommendation,Season_Based_Crop_Recommendation,Current_Season,Current_Temperature(°C),Current_Humidity(%),Weather_Description,Nitrogen (mg/kg)_min,Nitrogen (mg/kg)_max,Phosphorus (mg/kg)_min,Phosphorus (mg/kg)_max,Potassium (mg/kg)_min,Potassium (mg/kg)_max,pH Range_min,pH Range_max
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\01060602previewen-02b.jpg,Bluish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Ammonium Sulphate",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\01060602previewen-02d.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\1000_F_240425429_YL91trtDxXQl8L0OKP7zyngeSb63olAC.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\alluvial-diamond-layers-mining-site-western-cape-south-africa-G8CR87.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\alluvial-soil-1kg-green-era-original-imag4r54hhybzhqc.jpeg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\alluvial-soil-1kg-green-era-original-imag4r54wbucymtp.jpeg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial-soil-distribution-in-India-1.jpeg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial-soil-distribution-in-India.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\alluvial-soil-profile-agricultural-land-260nw-1867228486.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial-Soil..png,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
